,species,abb,bioproject
1,Acinetobacter_baumannii,Abaumannii,PRJNA1120174
2,Bacillus_anthracis,Banthracis,PRJNA1054830
3,Bordetella_pertussis,Bpertussis,PRJNA279196
4,Brucella_melitensis,Bmelitensis,PRJEB52526
5,Brucella_spp,Brucella,PRJNA472876
6,Burkholderia_mallei_(RKI),Bmallei_rki,PRJNA264186
7,Burkholderia_mallei_(FLI),Bmallei_fli,PRJEB40604
8,Burkholderia_pseudomallei,Bpseudomallei,PRJEB25606
9,Campylobacter_jejuni/coli,Cjejuni_complex,PRJEB105069
10,Clostridioides_difficile,Cdifficile,PRJNA278886
11,Clostridium_perfringens,Cperfringens,PRJNA755973
12,Corynebacterium_diphtheriae,Cdiphtheriae,PRJNA1209004
13,Corynebacterium_pseudotuberculosis,Cpseudotuberculosis,PRJNA758392
14,Cronobacter_sakazakii/malonaticus,Csakazakii_complex,PRJNA727202
15,Enterococcus_faecalis,Efaecalis,PRJEB40976
16,Enterococcus_faecium,Efaecium,PRJNA292669
17,Escherichia_coli,Ecoli,PRJNA357722
18,Francisella_tularensis,Ftularensis,PRJNA551589
19,Klebsiella_oxytoca/grimontii/michiganensis/pasteurii,Koxytoca_complex,PRJNA288601
20,Klebsiella_pneumoniae/variicola/quasipneumoniae,Kpneumoniae_complex,PRJEB10018
21,Legionella_pneumophila,Lpneumophila,PRJNA1036154
22,Listeria_monocytogenes,Lmonocytogenes,PRJNA514285
23,Mycobacterium_tuberculosis/bovis/africanum/canettii,Mtuberculosis_complex,PRJEB2138
24,Mycobacteroides_abscessus,Mabscessus,PRJNA398137
25,Mycoplasma_gallisepticum,Mgallisepticum,PRJNA445284
26,Paenibacillus_larvae,Plarvae,PRJNA1117589
27,Pseudomonas_aeruginosa,Paeruginosa,PRJNA852179
28,Salmonella_enterica,Senterica,PRJEB47910
29,Serratia_marcescens,Smarcescens,PRJNA957961
30,Staphylococcus_argenteus,Sargenteus,PRJNA1306038
31,Staphylococcus_aureus,Saureus,PRJEB2756
32,Staphylococcus_capitis,Scapitis,PRJNA342349
33,Streptococcus_pyogenes,Spyogenes,PRJNA817826
34,Yersinia_enterocolitica,Yenterocolitica,PRJNA1192190
35,Citrobacter_freundii,Cfreundii,PRJNA1301355
36,Citrobacter_freundii/portucalensis/braakii/europaeus,Cfreundii_complex,
37,Enterobacter_hormaechei,Ehormaechei,PRJNA877430
38,Morganella_morganii,Mmorganii,PRJNA1042612
39,Proteus_mirabilis,Pmirabilis,PRJNA893581
40,Providencia_stuartii,Pstuartii,PRJNA1093566
